,design,nr,ntheta,nx,panels,A,B
177,"design_3.388888888888889,17.5",17,20,20,540,72255.93960282383,6224.805227055481
178,"design_3.388888888888889,17.5",17,20,25,600,71708.23276053988,6128.11944959748
179,"design_3.388888888888889,17.5",17,20,30,640,71308.22501005475,6058.056893633972
180,"design_3.388888888888889,17.5",17,25,10,550,75202.06489099559,6772.539788468857
181,"design_3.388888888888889,17.5",17,25,15,625,73766.66601024728,6511.753580881009
182,"design_3.388888888888889,17.5",17,25,20,675,72945.6116427344,6364.594869750557
183,"design_3.388888888888889,17.5",17,25,25,750,72398.5420773316,6267.66590676568
184,"design_3.388888888888889,17.5",17,25,30,800,71998.4349483691,6197.506351303029
185,"design_3.388888888888889,17.5",17,30,10,660,75589.24148436486,6860.740125512537
186,"design_3.388888888888889,17.5",17,30,15,750,74157.43312466313,6597.990324868479
187,"design_3.388888888888889,17.5",17,30,20,810,73341.73159391958,6451.55677026672
188,"design_3.388888888888889,17.5",17,30,25,900,72793.38065347729,6353.470200424574
189,"design_3.388888888888889,17.5",17,30,30,960,72394.56147061798,6283.934490870628
190,"design_3.388888888888889,17.5",17,35,10,770,75830.10331969197,6918.753979955188
191,"design_3.388888888888889,17.5",17,35,15,875,74403.33106877013,6655.879033674787
192,"design_3.388888888888889,17.5",17,35,20,945,73590.0496364579,6509.23368893914
193,"design_3.388888888888889,17.5",17,35,25,1050,73045.04732384814,6412.008198162068
194,"design_3.388888888888889,17.5",17,35,30,1120,72645.7782761103,6341.696960044217
195,"design_3.388888888888889,17.5",17,40,10,880,75992.80920675509,6960.69878539004
196,"design_3.388888888888889,17.5",17,40,15,1000,74570.64158570475,6697.52073524028
197,"design_3.388888888888889,17.5",17,40,20,1080,73759.56857550667,6550.698032699072
198,"design_3.388888888888889,17.5",17,40,25,1200,73215.72460545112,6453.307040699174
199,"design_3.388888888888889,17.5",17,40,30,1280,72817.93356612478,6383.309804176896
200,"design_4.166666666666666,19.166666666666664",2,20,10,140,135632.12880057376,10261.665780503263
201,"design_4.166666666666666,19.166666666666664",2,20,15,200,132465.16990744884,9742.686338882637
202,"design_4.166666666666666,19.166666666666664",2,20,20,240,130637.25633637983,9450.773039308353
203,"design_4.166666666666666,19.166666666666664",2,20,25,300,129479.88391560935,9272.74094075768
204,"design_4.166666666666666,19.166666666666664",2,20,30,340,128682.67291560266,9149.699970885233
205,"design_4.166666666666666,19.166666666666664",2,25,10,175,136907.15232538327,10499.2106968826
206,"design_4.166666666666666,19.166666666666664",2,25,15,250,133746.72557510933,9977.326191884893
207,"design_4.166666666666666,19.166666666666664",2,25,20,300,131910.36956128012,9682.748588367615
208,"design_4.166666666666666,19.166666666666664",2,25,25,375,130755.29211818424,9504.821672412618
209,"design_4.166666666666666,19.166666666666664",2,25,30,425,129955.64222502662,9381.483813284096
210,"design_4.166666666666666,19.166666666666664",2,30,10,210,137626.45903593337,10645.49435997581
211,"design_4.166666666666666,19.166666666666664",2,30,15,300,134476.3210158375,10123.31888550762
212,"design_4.166666666666666,19.166666666666664",2,30,20,360,132646.57688790467,9828.607120106173
213,"design_4.166666666666666,19.166666666666664",2,30,25,450,131490.54140239971,9649.604578562408
214,"design_4.166666666666666,19.166666666666664",2,30,30,510,130689.94522216049,9525.248971676749
215,"design_4.166666666666666,19.166666666666664",2,35,10,245,138077.35169328182,10744.11175559544
216,"design_4.166666666666666,19.166666666666664",2,35,15,350,134937.62503214885,10221.553858649067
217,"design_4.166666666666666,19.166666666666664",2,35,20,420,133111.75705484848,9927.18180829812
218,"design_4.166666666666666,19.166666666666664",2,35,25,525,131956.15828164233,9747.238049684238
219,"design_4.166666666666666,19.166666666666664",2,35,30,595,131155.86200890853,9623.46625617846
220,"design_4.166666666666666,19.166666666666664",2,40,10,280,138380.7677748271,10814.474355633743
221,"design_4.166666666666666,19.166666666666664",2,40,15,400,135251.74560421606,10293.37372544509
222,"design_4.166666666666666,19.166666666666664",2,40,20,480,133428.801031336,9997.688214366895
223,"design_4.166666666666666,19.166666666666664",2,40,25,600,132273.79188325707,9818.36306062246
224,"design_4.166666666666666,19.166666666666664",2,40,30,680,131475.12576060524,9694.78022255427
225,"design_4.166666666666666,19.166666666666664",7,20,10,240,134880.8873017549,10712.6470955524
226,"design_4.166666666666666,19.166666666666664",7,20,15,300,132234.2012889418,10263.986420848074
227,"design_4.166666666666666,19.166666666666664",7,20,20,340,130674.06692915624,10001.246749032447
228,"design_4.166666666666666,19.166666666666664",7,20,25,400,129642.20766922417,9833.271191317173
229,"design_4.166666666666666,19.166666666666664",7,20,30,440,128887.45811041945,9712.54058469599
230,"design_4.166666666666666,19.166666666666664",7,25,10,300,136104.1410547792,10955.384650443255
231,"design_4.166666666666666,19.166666666666664",7,25,15,375,133465.22239507403,10502.8112932312
232,"design_4.166666666666666,19.166666666666664",7,25,20,425,131904.6420609928,10238.516723561628
233,"design_4.166666666666666,19.166666666666664",7,25,25,500,130875.55667117516,10071.327261007718
234,"design_4.166666666666666,19.166666666666664",7,25,30,550,130119.77941139023,9950.08430344211
235,"design_4.166666666666666,19.166666666666664",7,30,10,360,136791.99579469705,11102.924106658891
236,"design_4.166666666666666,19.166666666666664",7,30,15,450,134166.13993386997,10651.883318568925
237,"design_4.166666666666666,19.166666666666664",7,30,20,510,132611.3665399555,10387.257987495344
238,"design_4.166666666666666,19.166666666666664",7,30,25,600,131582.70402694712,10219.278730888693
239,"design_4.166666666666666,19.166666666666664",7,30,30,660,130826.29489961904,10097.117238471961
240,"design_4.166666666666666,19.166666666666664",7,35,10,420,137222.52362579308,11203.085755521677
241,"design_4.166666666666666,19.166666666666664",7,35,15,525,134606.46809596327,10752.236791229074
242,"design_4.166666666666666,19.166666666666664",7,35,20,595,133056.70180625585,10487.569912013034
243,"design_4.166666666666666,19.166666666666664",7,35,25,700,132029.06136274335,10319.306712639649
244,"design_4.166666666666666,19.166666666666664",7,35,30,770,131275.0098884689,10197.634198158055
245,"design_4.166666666666666,19.166666666666664",7,40,10,480,137511.67604166822,11273.967543199009
246,"design_4.166666666666666,19.166666666666664",7,40,15,600,134905.59675301693,10824.497053839867
247,"design_4.166666666666666,19.166666666666664",7,40,20,680,133361.07180452108,10560.151713674644
248,"design_4.166666666666666,19.166666666666664",7,40,25,800,132336.0166082648,10391.676083057013
